Exp_Vac,Exp_Unv,Inf_Vac,Inf_Unv,DailyVE
38169,44690,14,84,0.1814500127937641
38155,44615,14,75,0.18196186151943747
38135,44541,20,74,0.18247227447582562
38118,44462,17,79,0.18298126367784992
38105,44381,13,81,0.18348884097378979
38093,44276,12,105,0.18399501804849677
38079,44183,14,93,0.18449980642653419
38066,44087,13,96,0.1850032174752387
38052,44004,14,83,0.1855052624077072
38031,43919,21,85,0.18600595228571132
38015,43820,16,99,0.1865052980225395
37996,43757,19,63,0.18700331038577375
37974,43677,22,80,0.1875
37950,43594,24,83,0.18799537734944935
37933,43515,17,79,0.18848945278058327
37918,43430,15,85,0.1889822365046136
37902,43347,16,83,0.1894737385999645
37883,43276,19,71,0.18996396901467796
37869,43190,14,86,0.19045293756876353
37849,43119,20,71,0.19094065395649348
37827,43034,22,85,0.19142712774864296
37811,42950,16,84,0.1919123683946848
37787,42869,24,81,0.19239638522492813
37768,42786,19,83,0.19287918745261468
37745,42706,23,80,0.1933607841759616
37732,42632,13,74,0.19384118438016426
37710,42553,22,79,0.19432039693935033
37691,42485,19,68,0.19479843061849503
37677,42414,14,71,0.1952752940752889
37657,42344,20,70,0.19575099586196848
37651,42281,6,63,0.1962255444271063
37635,42202,16,79,0.19669894811736077
37618,42130,17,72,0.19717121517918923
37592,42055,26,75,0.19764235376052378
37580,41975,12,80,0.1981123719124119
37569,41898,11,77,0.1985812775906222
37550,41817,19,81,0.19904907865721397
37530,41728,20,89,0.1995157828820758
37510,41659,20,69,0.19998139794443254
37489,41590,21,69,0.2004459314343185
37474,41515,15,75,0.20090939085401974
37460,41453,14,62,0.2013717836194912
37437,41382,23,71,0.20183311706173793
37420,41318,17,64,0.20229339842817157
37405,41244,15,74,0.20275263488394155
37383,41167,22,77,0.2032108335132327
37366,41086,17,81,0.2036680013205431
37345,41015,21,71,0.20412414523193154
37329,40947,16,68,0.20457927209624316
37314,40879,15,68,0.20503338868630752
37291,40810,23,69,0.20548650170011723
37275,40739,16,71,0.20593861776197825
37258,40685,17,54,0.2063897434236406
37233,40626,25,59,0.20683988516540527
37213,40563,20,63,0.20728904939721268
37193,40487,20,76,0.20773724245970385
37180,40424,13,63,0.2081844706252696
37167,40358,13,66,0.20863074009907004
37151,40283,16,75,0.2090760570200416
37135,40227,16,56,0.20952042746188154
37117,40151,18,76,0.2099638574340153
37096,40081,21,70,0.21040635288254328
37078,40014,18,67,0.21084791969117236
37063,39942,15,72,0.2112885636821294
37047,39865,16,77,0.21172829061705262
37032,39800,15,65,0.21216710619787635
37011,39739,21,61,0.21260501606769058
36990,39677,21,62,0.21304202581158657
36961,39615,29,62,0.2134781409574917
36940,39554,21,61,0.21391336697698118
36923,39495,17,59,0.21434770928608116
36913,39420,10,75,0.21478117324605606
36903,39339,10,81,0.21521376416417778
36879,39267,24,72,0.21564548729448593
36861,39193,18,74,0.2160763478385318
36840,39136,21,57,0.21650635094610968
36823,39075,17,61,0.21693550171597492
36805,39019,18,56,0.21736380519655016
36787,38952,18,67,0.2177912663866159
36770,38889,17,63,0.21821789023599253
36759,38814,11,75,0.21864368164621034
36741,38745,18,69,0.21906864547116622
36732,38691,9,54,0.21949278651776558
36716,38623,16,68,0.2199161095465617
36691,38566,25,57,0.22033861927237625
36674,38511,17,55,0.22076032036491314
36654,38458,20,53,0.22118121744935954
36637,38383,17,75,0.22160131510697945
36628,38322,9,61,0.22202061787569372
36615,38264,13,58,0.22243913025065246
36595,38197,20,67,0.22285685668479782
36581,38120,14,77,0.2232738015894172
36561,38071,20,49,0.22368996933468516
36543,38012,18,59,0.22410536425019884
36519,37960,24,52,0.22451999062550362
36501,37899,18,61,0.22493385271060973
36486,37835,15,64,0.22534695471649932
36472,37772,14,63,0.22575930081562973
36448,37722,24,50,0.22617089514242042
36424,37657,24,65,0.22658174179374133
36396,37603,28,54,0.22699184482938478
36375,37540,21,63,0.22740120827253624
36364,37479,11,61,0.22780983611023345
36350,37425,14,54,0.22821773229381914
36334,37367,16,58,0.22862490073938868
36313,37314,21,53,0.22903134532822603
36290,37265,23,49,0.2294370699072384
36271,37198,19,67,0.22984207828937872
36258,37133,13,65,0.23024637425406458
36244,37073,14,60,0.2306499615475897
36224,37007,20,66,0.23105284388352965
36212,36949,12,58,0.2314550249431377
36187,36905,25,44,0.23185650837574176
36167,36837,20,68,0.23225729779912682
36148,36773,19,64,0.2326573967999174
36129,36722,19,51,0.23305680893395103
36107,36655,22,67,0.23345553772664773
36087,36601,20,54,0.2338535866733713
36070,36551,17,50,0.23425095923979058
36046,36491,24,60,0.23464765886222647
36030,36443,16,48,0.2350436889480034
36010,36385,20,58,0.23543905287578687
35994,36331,16,54,0.23583375399592316
35977,36281,17,50,0.2362277956307671
35958,36224,19,57,0.23662118107501157
35938,36160,20,64,0.23701391359600646
35921,36100,17,60,0.23740599643407762
35897,36040,24,60,0.2377974328028357
35876,35997,21,43,0.23818822588948585
35859,35936,17,61,0.2385783788551319
35842,35879,17,57,0.2389678948350693
35826,35826,16,53,0.2393567769390844
35807,35770,19,56,0.23974502825174204
35792,35730,15,40,0.2401326518326706
35768,35661,24,69,0.2405196507168434
35747,35612,21,49,0.24090602791485813
35729,35551,18,61,0.24129178641320562
35718,35490,11,61,0.24167692917454509
35703,35440,15,50,0.24206145913796356
35685,35385,18,55,0.24244537921924156
35666,35344,19,41,0.2428286923111105
35648,35292,18,52,0.24321140128350424
35633,35240,15,52,0.24359350898381418
35617,35193,16,47,0.2439750182371334
35599,35134,18,59,0.24435593184650053
35586,35086,13,48,0.24473625259314008
